Book Name,Author,Rating,Customers_Rated,Price
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"14,004",0
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"16,756",0
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"10,736",0
The Girl in Room 105,Chetan Bhagat,4.3 out of 5 stars,"5,213",0
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"5,129",0
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"4,558",0
The Subtle Art of Not Giving a F*ck,Mark Manson,4.4 out of 5 stars,"14,619",0
Indian Polity 5th Edition,M. Laxmikanth,4.5 out of 5 stars,"5,346",0
The Alchemist,Paulo Coelho,4.7 out of 5 stars,"22,312",0
How to Win Friends and Influence People,Dale Carnegie,4.6 out of 5 stars,"15,489",0
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"3,394",0
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"15,117",0
The Monk Who Sold His Ferrari,Robin Sharma,4.6 out of 5 stars,"5,894",0
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5 out of 5 stars,"14,690",0
Raavan: Enemy of Aryavarta (Ram Chandra Series - Book 3),Amish Tripathi,4.5 out of 5 stars,"3,538",0
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"3,432",0
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.7 out of 5 stars,"4,119",0
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,"3,101",0
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4 out of 5 stars,"6,256",0
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.5 out of 5 stars,"1,765",0
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"3,133",0
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"3,522",0
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"4,509",0
Objective General English,S.P. Bakshi,4.2 out of 5 stars,"3,532",0
Life is What You Make It,Preeti Shenoy,4.1 out of 5 stars,"4,523",0
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.4 out of 5 stars,"2,296",0
